,Typ,Nr,Namn,Latitude,Longitude,Altitude
0,Butik,102,Fältöversten,59.3383148,18.0899599,0
1,Butik,104,,59.3372072,18.0790982,0
2,Butik,106,Garnisonen,59.3358717,18.0995103,0
3,Butik,110,,59.3343273,18.0626039,0
4,Butik,113,Sergel,59.3324377,18.0626176,0
5,Butik,114,PK-Huset,59.3329989,18.071481,0
6,Butik,116,,59.3304823,18.0649707,0
7,Butik,132,Marieberg,59.3284404,18.0177153,0
8,Butik,133,,59.32886965,18.0430891833566,0
9,Butik,134,,59.3373898,18.009267,0
10,Butik,137,,59.3349499,18.0300502,0
11,Butik,138,,59.3408069,18.0418443,0
12,Butik,140,Torsplan,59.3464104,18.0332565,0
,,,,asdq,12eas,
,,,,aq11234sd,asd,
13,Butik,143,Odenplan,59.3434945,18.0528016,0
14,Butik,144,Jarlaplan,59.3446986,18.063395,0
15,Butik,145,,59.3391107,18.0605395,0
16,Butik,146,,59.3344213,18.055626,0
17,Butik,163,Ringen,59.3094642,18.0756242,0
18,Butik,164,Ringen,,,1
18,Butik,165,,59.3142692,18.0751532,0
19,Butik,166,Söderhallarna,59.3151746,18.0732073,0
20,Butik,172,,59.3168124,18.0559158,0
21,Butik,173,Hammarby Sjöstad,59.3023089,18.1034195,0
22,Butik,174,,59.3177967,18.0326875,0
,,,,aq11234sd,asd,
